title,date_published,author,source,comment_text,keyword_category,language
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-15,Unknown,YouTube,I think first aid and CPR needs a revamp. You gotta be kidding me with this shit.,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-15,Unknown,YouTube,"Never do this.

First thing you learn in first aid training, if it touches the floor it doesn't touch the patient.

Real method is to use 3 standard bandage rolls, 2 rolls still rolled up either side of penetrating object (knife in this case) and 3rd unwound to wrap around patient to hold everything in place.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-13,Unknown,YouTube,"First aid❌️
Last aid✅️",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-13,Unknown,YouTube,Imagine getting stabbed and your paramedic starts doing a stab wound first aid tutorial video for his TikTok then turns to you to asking “what’s next?”,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-11,Unknown,YouTube,Nah if i get stabbed and my paramedic be smiling like that while providing first aid ima pull that knife and stick it to his throat 😂 fk that creepy ass smile 🤣,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-11,Unknown,YouTube,"First aid 👎
First dead 👍",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-10,Unknown,YouTube,Ok i got my First aid bag 😂,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-10,Unknown,YouTube,"I hate seeing stabbing first aid videos where the knife is still in the person/dummy. That like almost never ever happens. As if a stabbing attack is a ""here, hold this"" moment.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-09,Unknown,YouTube,Sollte in Berlin zur Pflicht werden solch ein First Aid Kid dabei zuhaben,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-09,Unknown,YouTube,So no first aid. Just protection of the wound…….got it,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-08,Unknown,YouTube,Thats not first aid😂,health,en
